order_id,ts,symbol,pnl,strategy
PAPER-80,2025-06-24 04:00:00+00:00,EURUSD,-28.86321338000331,default
PAPER-81,2025-06-24 05:00:00+00:00,EURUSD,0.0,default
PAPER-82,2025-07-08 07:00:00+00:00,EURUSD,148.2164785799995,default
PAPER-83,2025-07-08 08:00:00+00:00,EURUSD,0.0,default
PAPER-84,2025-07-22 07:00:00+00:00,EURUSD,60.53662682000061,default
PAPER-85,2025-07-22 08:00:00+00:00,EURUSD,0.0,default
PAPER-86,2025-07-28 11:00:00+00:00,EURUSD,-50.72329911999907,default
PAPER-87,2025-07-28 11:00:00+00:00,EURUSD,0.0,default
PAPER-88,2025-07-28 16:00:00+00:00,EURUSD,-50.72320261999908,default
PAPER-89,2025-07-28 16:00:00+00:00,EURUSD,0.0,default
PAPER-90,2025-07-29 04:00:00+00:00,EURUSD,-9.553178780002035,default
PAPER-91,2025-07-29 05:00:00+00:00,EURUSD,0.0,default
PAPER-92,2025-08-06 06:00:00+00:00,EURUSD,-1.5631572799976543,default
PAPER-93,2025-08-06 07:00:00+00:00,EURUSD,0.0,default
PAPER-94,2025-08-20 04:00:00+00:00,EURUSD,50.71673322000245,default
PAPER-95,2025-08-20 05:00:00+00:00,EURUSD,0.0,default
PAPER-96,2025-08-22 14:00:00+00:00,EURUSD,-50.72337999999908,default
PAPER-97,2025-08-22 15:00:00+00:00,EURUSD,0.0,default
PAPER-98,2025-08-26 05:00:00+00:00,EURUSD,66.52671431999856,default
PAPER-99,2025-08-26 06:00:00+00:00,EURUSD,0.0,default
PAPER-100,2025-08-27 00:00:00+00:00,EURUSD,14.04672791999936,default
PAPER-101,2025-08-27 01:00:00+00:00,EURUSD,0.0,default
PAPER-102,2025-08-28 12:00:00+00:00,EURUSD,-50.72336683999908,default
PAPER-103,2025-08-28 12:00:00+00:00,EURUSD,0.0,default
PAPER-104,2025-08-29 09:00:00+00:00,EURUSD,-5.523346459998284,default
PAPER-105,2025-08-29 10:00:00+00:00,EURUSD,0.0,default
PAPER-106,2025-09-02 12:00:00+00:00,EURUSD,-50.72323477999908,default
PAPER-107,2025-09-02 12:00:00+00:00,EURUSD,0.0,default
PAPER-108,2025-09-03 16:00:00+00:00,EURUSD,60.2666497599984,default
PAPER-109,2025-09-03 17:00:00+00:00,EURUSD,0.0,default
PAPER-110,2025-09-05 12:00:00+00:00,EURUSD,-50.72341921999908,default
PAPER-111,2025-09-05 12:00:00+00:00,EURUSD,0.0,default
PAPER-112,2025-09-05 13:00:00+00:00,EURUSD,-16.28350609999905,default
PAPER-113,2025-09-05 15:00:00+00:00,EURUSD,0.0,default
PAPER-114,2025-09-07 22:00:00+00:00,EURUSD,-50.72342151999908,default
PAPER-115,2025-09-07 22:00:00+00:00,EURUSD,0.0,default
PAPER-116,2025-09-11 12:00:00+00:00,EURUSD,-50.72330937999908,default
PAPER-117,2025-09-11 12:00:00+00:00,EURUSD,0.0,default
PAPER-118,2025-09-22 11:00:00+00:00,EURUSD,56.936444300001455,default
