order_id,ts,symbol,pnl,strategy,adapter_latency_ms
PAPER-543,2025-05-21 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-544,2025-05-21 17:00:00+00:00,USDJPY,-25.381892784468057,default,25.0
PAPER-545,2025-05-21 17:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-546,2025-05-21 22:00:00+00:00,USDJPY,60.89711601264602,default,25.0
PAPER-547,2025-05-21 23:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-548,2025-05-22 01:00:00+00:00,USDJPY,-33.026756697789665,default,25.0
PAPER-549,2025-05-22 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-550,2025-05-22 08:00:00+00:00,USDJPY,-33.436794082410785,default,25.0
PAPER-551,2025-05-22 08:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-552,2025-05-22 13:00:00+00:00,USDJPY,41.26469060807999,default,25.0
PAPER-553,2025-05-22 17:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-554,2025-05-23 01:00:00+00:00,USDJPY,42.31776905025549,default,25.0
PAPER-555,2025-05-23 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-556,2025-05-23 11:00:00+00:00,USDJPY,-21.22425483563782,default,25.0
PAPER-557,2025-05-23 11:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-558,2025-05-26 02:00:00+00:00,USDJPY,-27.02422788394846,default,25.0
PAPER-559,2025-05-26 02:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-560,2025-05-27 04:00:00+00:00,USDJPY,34.841987133265924,default,25.0
PAPER-561,2025-05-27 05:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-562,2025-05-27 07:00:00+00:00,USDJPY,-22.663225302704028,default,25.0
PAPER-563,2025-05-27 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-564,2025-05-27 10:00:00+00:00,USDJPY,-28.66122651840663,default,25.0
PAPER-565,2025-05-27 10:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-566,2025-05-28 01:00:00+00:00,USDJPY,-33.419869660249255,default,25.0
PAPER-567,2025-05-28 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-568,2025-05-28 03:00:00+00:00,USDJPY,-22.09433577629983,default,25.0
