time,open,high,low,close,volume
2025-02-21 13:00:00+00:00,96.062,96.098,95.948,96.043,10309
2025-02-21 14:00:00+00:00,96.041,96.068,95.656,95.674,12636
2025-02-21 15:00:00+00:00,95.662,95.68,95.28,95.335,15635
2025-02-21 16:00:00+00:00,95.334,95.386,95.24,95.302,9677
2025-02-21 17:00:00+00:00,95.299,95.332,95.048,95.076,9796
2025-02-21 18:00:00+00:00,95.073,95.073,94.799,94.84,11367
2025-02-21 19:00:00+00:00,94.84,94.84,94.651,94.724,12801
2025-02-21 20:00:00+00:00,94.724,94.838,94.707,94.82,11222
2025-02-21 21:00:00+00:00,94.816,94.958,94.792,94.914,10939
2025-02-23 22:00:00+00:00,94.932,95.108,94.932,95.002,1217
2025-02-23 23:00:00+00:00,95.002,95.195,94.96,95.153,4844
2025-02-24 00:00:00+00:00,95.154,95.154,94.887,94.89,8408
2025-02-24 01:00:00+00:00,94.89,95.098,94.826,95.064,16443
2025-02-24 02:00:00+00:00,95.064,95.419,95.062,95.314,12086
2025-02-24 03:00:00+00:00,95.314,95.456,95.181,95.219,8944
2025-02-24 04:00:00+00:00,95.222,95.262,95.188,95.215,7295
2025-02-24 05:00:00+00:00,95.214,95.349,95.191,95.27,9844
2025-02-24 06:00:00+00:00,95.27,95.362,95.194,95.346,9303
2025-02-24 07:00:00+00:00,95.346,95.386,95.078,95.222,9513
2025-02-24 08:00:00+00:00,95.224,95.254,94.98,95.18,12654
2025-02-24 09:00:00+00:00,95.179,95.303,95.14,95.209,9065
2025-02-24 10:00:00+00:00,95.207,95.282,95.164,95.246,9388
2025-02-24 11:00:00+00:00,95.246,95.396,95.225,95.332,8954
2025-02-24 12:00:00+00:00,95.33,95.392,95.267,95.38,8593
2025-02-24 13:00:00+00:00,95.379,95.454,95.287,95.379,10082
2025-02-24 14:00:00+00:00,95.376,95.44,94.756,94.781,11384
2025-02-24 15:00:00+00:00,94.782,94.94,94.694,94.864,16878
2025-02-24 16:00:00+00:00,94.866,95.238,94.857,95.116,10790
2025-02-24 17:00:00+00:00,95.114,95.264,95.102,95.11,9958
2025-02-24 18:00:00+00:00,95.108,95.176,95.062,95.163,7393
2025-02-24 19:00:00+00:00,95.164,95.26,95.092,95.148,7877
2025-02-24 20:00:00+00:00,95.148,95.167,94.965,95.026,8469
2025-02-24 21:00:00+00:00,95.028,95.094,95.001,95.058,3814
2025-02-24 22:00:00+00:00,95.058,95.114,94.999,95.03,704
2025-02-24 23:00:00+00:00,95.026,95.11,94.959,95.026,3991
2025-02-25 00:00:00+00:00,95.027,95.239,95.026,95.217,8657
2025-02-25 01:00:00+00:00,95.216,95.318,95.166,95.197,11879
2025-02-25 02:00:00+00:00,95.197,95.252,95.128,95.197,10983
2025-02-25 03:00:00+00:00,95.196,95.264,95.054,95.066,8700
2025-02-25 04:00:00+00:00,95.07,95.11,94.912,94.97,8048
2025-02-25 05:00:00+00:00,94.972,95.168,94.97,95.142,7712
2025-02-25 06:00:00+00:00,95.141,95.203,95.078,95.106,8356
2025-02-25 07:00:00+00:00,95.103,95.124,94.598,94.606,9565
