sharpe,ann_return,ann_vol,max_drawdown,trades,return_pct,win_rate,rr,expectancy,median_hold,fast,slow,atr_sl,atr_tp,rsi_long_thresh,rsi_short_thresh,cooldown,trailing_enable_atr_mult,trailing_atr_mult
-3.4324955245233495,-0.019736609241135072,0.0057499300727786905,-0.020570131129736793,784,-0.02029266240228622,0.5408163265306123,0.5518207527862629,-5.154390655175065,0 days 05:00:00,20,180,2.0,,55,40,0,1.0,0.5
-3.436360257894262,-0.018031114254389524,0.0052471548095014515,-0.01937493475023325,850,-0.018538239190047934,0.48705882352941177,0.702702758011816,-4.339659858834966,0 days 04:00:00,20,120,1.5,3.0,55,35,0,1.0,0.5
-3.4451846246878355,-0.010847874362001186,0.003148706250534861,-0.011763895546813515,344,-0.011150771416761684,0.5813953488372093,0.3467983039071202,-6.460645831838506,0 days 04:00:00,30,180,2.0,,55,35,12,0.5,0.5
-3.4451846246878355,-0.010847874362001186,0.003148706250534861,-0.011763895546813515,344,-0.011150771416761684,0.5813953488372093,0.3467983039071202,-6.460645831838506,0 days 04:00:00,30,180,2.0,3.0,55,35,12,0.5,0.5
-3.456942406878107,-0.010374175570325828,0.003000968587062615,-0.011022684713367054,436,-0.010663676515002107,0.5458715596330275,0.43900432154728275,-4.869252593119483,0 days 04:00:00,20,120,1.5,,55,40,12,0.5,0.5
-3.456942406878107,-0.010374175570325828,0.003000968587062615,-0.011022684713367054,436,-0.010663676515002107,0.5458715596330275,0.43900432154728275,-4.869252593119483,0 days 04:00:00,20,120,1.5,3.0,55,40,12,0.5,0.5
-3.4693996584122466,-0.017541345973866473,0.005056017669032164,-0.01891111758620645,782,-0.01803421030561947,0.4859335038363171,0.690029037574365,-4.59002725309971,0 days 04:00:00,20,180,1.5,,55,35,0,1.0,0.5
-3.486235847594276,-0.02004585763261313,0.005750000432829593,-0.021337922368558408,718,-0.020610268756666494,0.5348189415041783,0.5513333054742849,-5.718731570102314,0 days 05:00:00,30,120,2.0,3.0,55,35,0,1.0,0.5
-3.506091851519857,-0.011316536000995359,0.0032276781328731447,-0.011744258370934525,366,-0.011632479243619653,0.43169398907103823,0.7222051564334672,-6.334220606349506,0 days 06:00:00,30,180,1.5,,55,40,12,1.0,0.5
-3.5080931910016204,-0.018837754996289147,0.005369798910875183,-0.019979508098182615,638,-0.019367371955381074,0.5297805642633229,0.5442474332383407,-6.048940702000521,0 days 05:00:00,30,180,2.0,,55,35,0,1.0,0.5
-3.5089407715563494,-0.018980947225062272,0.005409309663737497,-0.019663445940458307,624,-0.019514652485666306,0.5288461538461539,0.5375583108115098,-6.232373490918953,0 days 05:00:00,30,180,2.0,,60,40,0,1.0,0.5
-3.5234714385665833,-0.018419279360555207,0.00522759434316531,-0.01977346567181752,850,-0.018936811075762394,0.48705882352941177,0.6951407484711695,-4.433441519003033,0 days 04:00:00,20,120,1.5,,55,35,0,1.0,0.5
